Process Key,Process Name,Location,Reference Product,Unit,ISIC Code,ISIC Division,ISIC Section,ISIC Description,LOCATION Code,UN Group,V_kg,Ri_kg,Rr_kg,Er_kg,W_kg,eta-_kg,eta+_kg,LFI_kg,CFI_kg,V_MJ,Ri_MJ,Rr_MJ,Er_MJ,W_MJ,eta-_MJ,eta+_MJ,LFI_MJ,CFI_MJ
"('ecoinvent-3.11-cutoff', 'e55d4f328f1c1905a7650c8c4efcd5f1')",potato production,CA-QC,potato,kilogram,0113,01,A,"Crop and animal production, hunting and related service activities",CA-QC,WEOG,280.4337066514041,0.2907161627080465,1.00431508713822,6.948139878260247,273.08120054608406,0.9727732194035384,0.02832833312356424,0.98586881335225,0.014681962911301291,1.4983085353628751,0.05441132555985338,0.013852932631624475,0.0,0.04592474641286962,0.029576968498089613,0.008921720511381976,0.4972671892204881,0.021982155284247712
"('ecoinvent-3.11-cutoff', '42436decf121d4adc587673edbe0d505')","market for land use change, perennial crop",CR,"land use change, perennial crop",hectare,0161,01,A,"Crop and animal production, hunting and related service activities",CR,GRULAC,1067.2159134319045,0.0,0.0,0.0,6079.548734472529,5.696643629424708,0.0,3.348321814712354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ecoinvent-3.11-cutoff', 'f23251d061c17c9bd35884fb0b68a86e')","market for residues, MSWI-WWT-SLF, waste bitumen",Europe without Switzerland,"residues, MSWI-WWT-SLF, waste bitumen",kilogram,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",Europe without Switzerland,WEOG,345.63722778643,1.0466059948051747,0.005669327490886866,0.14655065168191383,345.83008530665387,0.9975373859655652,0.0004390743505763084,0.9972592398545679,0.0017289903035029603,2.0680039059213167,0.07423809062080831,0.047255825550093514,0.0,0.08057509248839917,0.03761250718567674,0.022059051043892778,0.5014790583598444,0.02835672075494034
"('ecoinvent-3.11-cutoff', '23070b96e444ee224c69db1d34274a4c')",market for pyridine,GLO,pyridine,kilogram,2011,20,C,Manufacture of chemicals and chemical products,GLO,Global,25685.118358191197,0.15073225432532183,1.1691961812523206,45.35475693204654,25564.151238448412,0.9952845402720673,0.0018113087680519948,0.9976393359200479,0.0009085886000117155,227.24422953123047,0.17331922858864843,1.0323954406837712,0.0,4.8230296237939605,0.021207816415643774,0.004539647209785502,0.5102228487215733,0.0026508830911413143
"('ecoinvent-3.11-cutoff', '63be823fc08d127892879003d47ecec6')",sulfur dichloride production,RER,sulfur dichloride,kilogram,2011,20,C,Manufacture of chemicals and chemical products,RER,Eastern Europe,4033.437396641692,0.1788112429764885,1.158939331802879,10.039235376526692,4019.1677520574976,0.9964179894460639,0.002776212245091652,0.9981868295945515,0.0014102712510261906,10.508264723810562,0.18541614635423226,1.3924666974338389,0.0,0.34656524272249584,0.032408414551570126,0.13021397536921078,0.5075347814435845,0.073776413516806
"('ecoinvent-3.11-cutoff', '5bbe83b0128dcc91041d014b706762b6')",market for residual fuels,GLO,residual fuels,kilogram,1920,19,C,Manufacture of coke and refined petroleum products,GLO,Global,812.5522558933294,0.007423133509386958,1.0166196375315388,0.6607422994278455,808.1414736152531,0.994562608106672,0.002064293836199545,0.9972767363066825,0.0010367146647533338,57.6134389050687,0.005055121794379088,0.04883457534226862,0.0,0.7919150066007433,0.013744111504051706,0.0008475503597768593,0.5068281885711862,0.0004676423607281638
"('ecoinvent-3.11-cutoff', '1e1bf43a2a500665268a4fd4a0c58a3c')","fatty alcohol production, from palm kernel oil",RER,fatty alcohol,kilogram,2011,20,C,Manufacture of chemicals and chemical products,RER,Eastern Europe,2829.314761044347,0.09614387518129722,1.0293098874528122,64.63996385216666,2750.8775972913727,0.9722439368945638,0.023209521680092333,0.9861049783602264,0.011621750927101769,17.200731050727104,0.6784758175735565,0.2230227652486383,0.0,1.3023769670859706,0.07284310633460196,0.012473862341402376,0.5174476741084799,0.025210810229522172
"('ecoinvent-3.11-cutoff', 'f86f4a1f672f92da80c0fa52cc64f82b')","electrode production, negative, Ni",GLO,"electrode, negative, Ni",kilogram,2720,27,C,Manufacture of electrical equipment,GLO,Global,147934.10393668397,0.2862208710221799,1.4299515356900196,804.4622641836205,147159.33708173022,0.9947608323189806,0.005447632662432372,0.9973794487682343,0.0027247837224722597,294.6266140731324,0.378464894199272,1.8200695940060754,0.0,5.155397000170812,0.017475621159531666,0.006169621215937189,0.5080963557012191,0.0037262654865152494
"('ecoinvent-3.11-cutoff', '8020794301bcd137a9f77b18ec87874e')","market for concrete, normal strength",IN,"concrete, normal strength",cubic meter,2395,23,C,Manufacture of other non-metallic mineral products,IN,Asia-Pacific,246796.43886048405,1.7359241443020252,3.615178772568048,461.33245288959665,243727.14054463376,0.9875564953319668,0.0018839184368681305,0.9937747307758243,0.000945476108593032,3517.940240906395,2.0886405038865012,9.81859564648424,0.0,39.786410075699585,0.01130286466847379,0.002789350876732145,0.5053547528787192,0.0016913548938837356
"('ecoinvent-3.11-cutoff', '04e5f8e41eb7beb09175d0f3cef36cd1')",market for cyclic N-compound,GLO,cyclic N-compound,kilogram,2021,20,C,Manufacture of chemicals and chemical products,GLO,Global,54960.878318742136,0.47306693256084936,1.3484919345221174,78.62325316163928,54788.55306789118,0.9968560031107868,0.001455054198631031,0.998423697922744,0.00073183073196495,235.84041978734106,1.3863596122432895,2.7626716552618173,0.0,3.937942791450623,0.016599908329984783,0.011645698947876277,0.5053779408582482,0.00874486278068229
