Process Key,Process Name,Location,Reference Product,Unit,ISIC Code,ISIC Division,ISIC Section,ISIC Description,LOCATION Code,UN Group,V_kg,Ri_kg,Rr_kg,Er_kg,W_kg,eta-_kg,eta+_kg,LFI_kg,CFI_kg,V_MJ,Ri_MJ,Rr_MJ,Er_MJ,W_MJ,eta-_MJ,eta+_MJ,LFI_MJ,CFI_MJ
"('ecoinvent-3.12-cutoff', '8b70ee793d24e3a30c1f28f7bd7b18b2')","treatment of sewage sludge, 97% water, WWT-SLF, waste polystyrene, landfarming",CH,"organic nitrogen fertiliser, as N",kilogram,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",CH,WEOG,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ecoinvent-3.12-cutoff', '969d00cbb78697d139a92f9336eab0ca')","electricity production, compressed air energy storage, adiabatic",RoW,"electricity, high voltage",kilowatt hour,3510,35,D,"Electricity, gas, steam and air conditioning supply",RoW,Rest of World,7105.007620662563,0.0,0.0,1.9176410533221415,7100.811232943683,0.9994093760425146,0.00026989992913523656,0.9997046880212572,0.00013494996456761828,13.348747195510143,0.0,3.6,0.0,0.10211437794746284,0.007649734949045185,0.269688229709741,0.5038248674745226,0.1348441148548705
"('ecoinvent-3.12-cutoff', '34806272769e3f176b87aed7db726486')","aluminium milling, small parts",RER,"aluminium removed by milling, small parts",kilogram,2592,25,C,"Manufacture of fabricated metal products, except machinery and equipment",RER,Eastern Europe,67219.47785053046,0.0,1.0,78.25912134419168,67110.68623511225,0.9983815462586587,0.0011791094468248122,0.9991907731293295,0.0005895547234124061,139.7653808206537,0.0,0.0,0.0,13.103616999533587,0.09375438268470852,0.0,0.5468771913423542,0.0
"('ecoinvent-3.12-cutoff', 'a3f9e95c4b3885bf0e8e62c4736ae200')","land already in use, annual cropland to annual crop",BR-TO,"land tenure, arable land, measured as carbon net primary productivity, annual crop",kilogram,0161,01,A,"Crop and animal production, hunting and related service activities",BR-TO,GRULAC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ecoinvent-3.12-cutoff', '47aab9dd89eaeb616f72bd144ea5cd76')",market for o-phenylene diamine,GLO,o-phenylene diamine,kilogram,2011,20,C,Manufacture of chemicals and chemical products,GLO,Global,22930.65661871385,0.0,1.0,77.59243108489989,22783.20193001799,0.9935695391916723,0.0034273955775326608,0.9967847695958361,0.0017136977887663304,167.62263200537163,0.0,0.0,0.0,3.0106568641786735,0.017960921077066695,0.0,0.5089804605385334,0.0
"('ecoinvent-3.12-cutoff', '021eaa3de94205d0c0a193a4e7635a0c')",sodium hydrogen sulfate production,GLO,sodium hydrogen sulfate,kilogram,2011,20,C,Manufacture of chemicals and chemical products,GLO,Global,4994.49231818866,0.0,1.0,23.94225107816828,4966.0231474632365,0.9942998869731472,0.004993951234509862,0.9971499434865737,0.002496975617254931,10.640828153625243,0.0,0.0,0.0,0.2442195384219398,0.0229511777557216,0.0,0.5114755888778608,0.0
"('ecoinvent-3.12-cutoff', 'a241be3b4bd4234f5a972d95f39873a3')","electricity, high voltage, production mix",KH,"electricity, high voltage",kilowatt hour,Unknown,Unknown,Unknown,Unknown,KH,Asia-Pacific,29238.072683060454,0.0,0.0,0.100400669056954,29238.10597450102,1.0000011386332104,3.433901753555826e-06,1.0000005693166052,1.716950876777913e-06,4.512095093357099,0.0,3.6,0.0,0.007908584799492639,0.0017527522438824477,0.7978555250974376,0.5008763761219412,0.3989277625487188
"('ecoinvent-3.12-cutoff', '95756e31562bbb4c64ca14a08232d30c')","market for heat carrier liquid, 40% C3H8O2",RoW,"heat carrier liquid, 40% C3H8O2",cubic meter,3700,37,E,Sewerage,RoW,Rest of World,571260.8187736331,0.0,0.0,1766.9753297805478,571772.0539518408,1.0008949242822311,0.0030931148640192785,1.0004474621411155,0.0015465574320096393,1463.2344494349459,0.0,0.0,0.0,3513.747043808371,2.4013561498400118,0.0,1.7006780749200057,0.0
"('ecoinvent-3.12-cutoff', 'f22b6dde12c9f9b5e1e4b52d7653746c')","electricity production, wind, 1-3MW turbine, onshore",DK,"electricity, high voltage",kilowatt hour,3510,35,D,"Electricity, gas, steam and air conditioning supply",DK,WEOG,66.77596271860097,0.0,0.0,0.055331458910598805,66.66099805822789,0.9982783526333039,0.0008286134210265126,0.9991391763166521,0.0004143067105132563,0.17739253748237632,0.0,3.6,0.0,0.011175424152805672,0.0629982766547659,20.293976573606738,0.5314991383273829,10.146988286803369
"('ecoinvent-3.12-cutoff', '141c64bbf5696129c5817489778e6da5')",cobalt production,GLO,"electrolyte, copper-rich",kilogram,2420,24,C,Manufacture of basic metals,GLO,Global,50899.043030585504,0.0,1.0,408.7293637343248,50547.67303858667,0.9930967269504911,0.008049844149095618,0.9965483634752454,0.004024922074547809,98.97149428852434,0.0,0.0,0.0,1.9599888241357164,0.019803569080425368,0.0,0.5099017845402127,0.0
"('ecoinvent-3.12-cutoff', 'a100ee20ac257291d2ee8173667dd0f1')","transport, freight, light commercial vehicle, all, to generic market for transport, freight, light commercial vehicle",ZA,"transport, freight, light commercial vehicle, fleet average",ton kilometer,4923,49,H,Land transport and transport via pipelines,ZA,Africa,1002.8600694709304,0.0,0.0,0.849853284330818,1000.2653148843926,0.9974126454272861,0.0008474295768692507,0.9987063227136431,0.00042371478843462537,8.920906030033603,0.0,0.0,0.0,0.10334875867111523,0.011585006985072562,0.0,0.5057925034925363,0.0
"('ecoinvent-3.12-cutoff', '0cdb85e08f874fd3974957ee492f599a')","fibre and fabric waste, polyester, Recycled Content cut-off",GLO,"fibre and fabric waste, polyester",kilogram,Unknown,Unknown,Unknown,Unknown,GLO,Global,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ecoinvent-3.12-cutoff', '24cce1c2b15700f51019f1c2982e4ec3')","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014",NO,"electricity, high voltage",kilowatt hour,3530,35,D,"Electricity, gas, steam and air conditioning supply",NO,WEOG,184.3597946945068,0.0,0.0,0.13563621677688728,184.54454382644744,1.0010021118338017,0.000735714731086803,1.000501055916901,0.0003678573655434015,0.6616826737971591,0.0,3.6,0.0,0.011197725609756858,0.016923105369371597,5.4406744238003,0.5084615526846857,2.72033721190015
"('ecoinvent-3.12-cutoff', 'ae8d2cd38a4a44872052fb96cb44b348')","treatment of municipal solid waste, sanitary landfill",SK,"heat, district or industrial, other than natural gas",megajoule,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",SK,Eastern Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ecoinvent-3.12-cutoff', '36cd575694806c748974e0eb7d7ab7bb')","market for transport, freight, lorry, 16-32 metric ton, diesel, EURO 5",RER,"transport, freight, lorry, 16-32 metric ton, diesel, EURO 5",ton kilometer,4923,49,H,Land transport and transport via pipelines,RER,Eastern Europe,161.97553006259102,0.0,0.0,0.09565243506260009,161.71336397670484,0.9983814463469582,0.000590536329935996,0.9991907231734791,0.000295268164967998,2.855601978168553,0.0,0.0,0.0,0.04505066303741585,0.015776240310041108,0.0,0.5078881201550206,0.0
"('ecoinvent-3.12-cutoff', 'ca32dfccab8d14e1638c3c4bc15a98df')","ammonia production, steam reforming, liquid",CN,"carbon dioxide, in chemical industry",kilogram,2012,20,C,Manufacture of chemicals and chemical products,CN,Asia-Pacific,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('ecoinvent-3.12-cutoff', 'a36b6372f1864c77a680d127e03a5cfe')",market for terbium oxide,GLO,terbium oxide,kilogram,0729,07,B,Mining of metal ores,GLO,Global,3039105.512748287,0.0,1.0,28680.41894329398,2955860.8360396316,0.972608823102895,0.009437454153198237,0.9863044115514474,0.004718727076599118,9121.553285467253,0.0,0.0,0.0,214.49042946744308,0.023514682505793832,0.0,0.511757341252897,0.0
"('ecoinvent-3.12-cutoff', 'd13bab812df1771edb2c7198247c1aa4')","treatment of residues, MSWI-WWT-SLF, municipal solid waste, residual material landfill",BE,"residues, MSWI-WWT-SLF, municipal solid waste",kilogram,3822,38,E,"Waste collection, treatment and disposal activities; materials recovery",BE,WEOG,307.8858308205225,1.0,0.0,0.14302908183290547,307.2223782726765,0.9946146686514329,0.0004630483743879215,0.9956886132640484,0.001850245248861966,1.8763096469744962,0.0,0.0,0.0,0.07817649641665404,0.041665029299780956,0.0,0.5208325146498904,0.0
"('ecoinvent-3.12-cutoff', '03c60b81e330b5c70e57f7e048417baa')","electricity production, wood, future",GLO,"electricity, high voltage",kilowatt hour,3530,35,D,"Electricity, gas, steam and air conditioning supply",GLO,Global,71.08682934083815,0.0,0.0,0.11144076455495279,70.91046746483359,0.9975190639723294,0.0015676710522652612,0.9987595319861646,0.0007838355261326306,0.5040433062213128,0.0,3.6,0.0,0.008886344217413179,0.01763012048316223,7.142243445287081,0.5088150602415811,3.5711217226435403
"('ecoinvent-3.12-cutoff', 'b05dc4f1985bac2be63c8ca4e2d59bcc')","treatment of municipal solid waste, municipal incineration",SK,"electricity, for reuse in municipal waste incineration only",kilowatt hour,3821,38,E,"Waste collection, treatment and disposal activities; materials recovery",SK,Eastern Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0
"('ecoinvent-3.12-cutoff', '5a7c379af098e8c85e9e2cda6eb8f9fd')",market for sulfuryl chloride,GLO,sulfuryl chloride,kilogram,2011,20,C,Manufacture of chemicals and chemical products,GLO,Global,9259.740520280837,0.0,1.0,9.522704794408318,9243.710824864147,0.9982688828718709,0.001136393052414516,0.9991344414359353,0.000568196526207258,21.7721186655529,0.0,0.0,0.0,0.5661222993953914,0.02600216855749049,0.0,0.5130010842787452,0.0
