Flow Key,Flow Name,Amount,Unit,Categories,Type,Category,Mass_Equivalent_kg,Energy_Equivalent_MJ,Water_Mass_Equivalent_kg,kg_Factor,MJ_Factor,kg_water_factor,Mass_Water_Equivalent_kg
"('ecoinvent-3.12-consequential', '249fed96e4105dc1d4cdee003b83eb18')","FUNCTIONAL UNIT: stamping for thermoplastic composite product, excluding electricity use",1.0,kilogram,functional_unit,technosphere,Recycled Outputs (Rr) - Functional Unit,1.0,,,1.0,,,
"('ecoinvent-3.12-biosphere', '4505f26e-3802-5f18-bb1a-0007670b41ff')",Flurochloridone,7.035549204818973e-15,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),7.035549204818973e-15,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'a3436836-e2fe-4c30-b9a7-0098b489374f')",Phenol,6.078184849879356e-07,kilogram,"('water', 'ocean')",emission,Waste Emissions (W),6.078184849879356e-07,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'ca53777e-d36e-4db0-95ce-009f1d8593b8')","Solids, inorganic",-0.0006973655484669956,kilogram,"('water', 'ground-')",emission,Waste Emissions (W),0.0006973655484669956,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'd6ec8431-7ff8-4018-8574-00a03966c952')",Prothioconazole,1.2784109554696016e-16,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),1.2784109554696016e-16,,,1.0,,,
"('ecoinvent-3.12-biosphere', '02801b46-cb56-5c8e-bdd3-00a24468d343')",Sulfadiazine,3.59771155220188e-13,kilogram,"('water',)",emission,Waste Emissions (W),3.59771155220188e-13,,,1.0,,,
"('ecoinvent-3.12-biosphere', '7aba10bb-f9e0-4537-a3df-00bd5216e31a')",Pentachlorobenzene,2.835056458647114e-15,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),2.835056458647114e-15,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'c10f1360-e1dc-44fa-8c2d-00bdd8524724')",Azinphos-methyl,4.662646661531535e-11,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),4.662646661531535e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', '36609913-7c42-457a-89cc-00e2d9f0f867')",Carbon,4.95573015342489e-09,kilogram,"('water', 'ground-')",emission,Waste Emissions (W),4.95573015342489e-09,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'd24f41d7-279e-4f5a-9ac9-00f726dc3bcc')",m-Xylene,1.371911706603977e-12,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),1.371911706603977e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '90a5a447-af6f-421a-8201-011f07ad1150')","Transformation, to dump site",5.427740339309478e-05,square meter,"('natural resource', 'land')",natural resource,Natural Resources (V),,,,,,,
"('ecoinvent-3.12-biosphere', '61c6920c-89ff-5928-9bea-012bd1fc5bec')",Mancozeb,2.0809721833958478e-10,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),2.0809721833958478e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'e5928649-f981-5fee-b84d-017dd2e3f8db')",Flurochloridone,3.215070927505349e-17,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),3.215070927505349e-17,,,1.0,,,
"('ecoinvent-3.12-biosphere', '9e4fda2d-a8ce-5b65-bf26-01805e3bdf0b')",Chlorothalonil,5.8407406606680995e-12,kilogram,"('air', 'non-urban air or from high stacks')",emission,Waste Emissions (W),5.8407406606680995e-12,,,1.0,,,
"('ecoinvent-3.12-biosphere', '247ddc2a-c861-43be-97f0-0183e3d12f99')","Transformation, to annual crop, irrigated",5.234616509078599e-06,square meter,"('natural resource', 'land')",natural resource,Natural Resources (V),,,,,,,
"('ecoinvent-3.12-biosphere', 'b1fca66f-8e83-469a-a7b5-018e14d5d545')",Phosphorus,1.0587425806245676e-10,kilogram,"('water', 'ground-')",emission,Waste Emissions (W),1.0587425806245676e-10,,,1.0,,,
"('ecoinvent-3.12-biosphere', '23a4dfc7-c82e-4425-abf6-0195f78f3363')","Dibenz(a,h)anthracene",7.869900454880586e-15,kilogram,"('air',)",emission,Waste Emissions (W),7.869900454880586e-15,,,1.0,,,
"('ecoinvent-3.12-biosphere', '1be6f247-61bd-4614-a1fa-01a85e968fcb')",Terbuthylazin,4.576027972958854e-11,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),4.576027972958854e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', '88ef28f1-cfd5-44a0-ac34-01acf2db84a0')",Ethyl benzene,8.860435198987142e-11,kilogram,"('air',)",emission,Waste Emissions (W),8.860435198987142e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', '162b7095-c497-4b3c-a290-01ebe4bc9a08')",Beryllium II,3.0088898349299625e-11,kilogram,"('soil', 'agricultural')",emission,Waste Emissions (W),3.0088898349299625e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', '2f5879fc-2fe8-56e6-beb0-01ee8b53bcab')",Copper oxide,1.1117248070792172e-17,kilogram,"('soil', 'forestry')",emission,Waste Emissions (W),1.1117248070792172e-17,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'de1404ca-49c3-5fc1-84d2-020a8979e62a')",Acrylate,5.1706313081727945e-11,kilogram,"('air',)",emission,Waste Emissions (W),5.1706313081727945e-11,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'c4d10bd2-09da-4082-8cb3-022c92c53221')",Cyanide,5.7022198663530746e-08,kilogram,"('water',)",emission,Waste Emissions (W),5.7022198663530746e-08,,,1.0,,,
"('ecoinvent-3.12-biosphere', 'd1fd0de4-afa8-4385-b91b-023493b68782')",Bromate,-1.0849387943404252e-06,kilogram,"('water', 'surface water')",emission,Waste Emissions (W),1.0849387943404252e-06,,,1.0,,,
